id,code,label,notes
b1796701-aa7a-40e2-8d37-ce8fbf4cde72,DBT,Digicare Biomedical Tech,561-689-0408
57254545-f28f-43dc-a472-0729a3ca9240,BUZBY,Dr Buzbys Toe Grips,843-476-4598
4cf496be-8d5e-4110-99f7-0f8c4b1560ce,DRXIE,Dr Xies Jing Tang,800-891-1986
402cdba4-a573-431c-bf90-a3428198fcea,DD,Dublin Dog Co,1866-707-1231
008db3b1-389c-4b46-a24a-3655ce477efd,ELANCO,Elanco,800-428-4441
8974104b-2980-43d8-9524-81493f2b75dd,ELLEVET,ElleVet Sciences,844-673-7287
1f7e10fb-bace-442b-a86d-4a21d5e1a04d,ECO,Eustis City,352-589-4333
98cdd52c-97d1-4878-a9f4-3093fced2f51,FEDEX,FedEx,407-617-4459
8c9e5101-7a18-4c47-a8d6-dd3f7b141e7f,FOR,Fort Dodge,800-685-5656
3839230c-f778-49bc-80e2-d28765e1fe19,FCL,Franks Compounding Lab,800-622-451
ec514e2f-ecd3-4ee9-8765-7fcd9972c5c6,GARMON,Garmon Corporation,
e50b3927-b209-486a-bb82-d69d5b5d42fb,IGRA,Grainger,800-323-0620
b90f8d71-7549-4494-af34-97501b5b43fb,GREEN,Greenbrier Faithful,407-886-2620
dd747978-9895-4c54-a886-cf165ac8f6e5,GC,Groomers Choice,888-364-6242
927e517c-4d17-4f2f-8952-b7564154f1ca,HFSI,Harmony Fastening Systems,1-800-748-384
fcaa4814-08a1-48f8-aef6-7c2294d7bb23,HSI,Henry Schein,800-472-4346
cb797c73-c8f4-43c4-b1ee-e4423a1b8917,HESKA,Heska Corp,800-464-3752
8c15659d-f571-4a71-9401-f3c060a5a081,IHCC,Highland Capital Corp,877-527-4422
7ba82349-f7b6-4282-9ef0-be2b3024d136,HIL,Hill's Pet Nutrition Inc.,800-354-4557
3bab49d8-4d0a-48ec-b4dc-d92e8c9632c1,HON,Honeckman Dr Adam,321-279-3683
f0bb83d8-554c-417b-a7be-619e5d6ca953,IDEACOM,IdeaCom,888-433-2266
572e91d4-a4d4-4a88-b812-04590457b754,IDX,IDEXX Laboratories,800-548-6733
8c0ff149-d8ff-416e-8359-c520e2bf5504,IMED,I-MED Pharma,514-685-8118
3609281d-c075-40a0-ad95-bf1b83a463a9,IVS,Institute Veterinary Spec,352-331-4233
82f764b1-614b-4486-8220-9393fb71ff7f,INTER,Intervet,800-441-8272
736b6ca7-b564-4ffe-8025-d5f9aa46ef90,JWS,John Wiley Sons,877-762-2974
0c08ac17-15c6-49ec-aad4-79aaac0f0d29,PARKS,Kevin Parks Lawn,352-551-8612
4b2c57ed-2dfe-4a66-a74b-d900af2eac35,KVP,KVP Kong,888-411-7387
4eb2033d-6e4c-442a-a8bb-04c9f3198731,LP,Lake Pharmacy,352-357-5485
944976f4-89e9-4923-a3a4-5df1c3088243,MED,Medcare Products,1 800 433 - 4
4b6ab79b-9b8e-4340-8eb9-ecfdd5155db3,MEDARTS,Medical Arts Press,800-328-217
e2c9704f-17dd-41b3-a65b-4a3824f7be73,M4V,Meds4Vets,866-633-4838
7e6b976e-fe21-47f7-9ebf-ab796dd54d85,MERCK,Merck Animal Health,800-224-5318
0598958e-c883-4792-8619-eb8895fb852e,MRK,Merial,888-637-4251
a6fa8059-d1ea-42b1-bcc4-706fc3d6fae9,MERRITT,Merritt Animal Clinic,352-589-1589
b00ea181-df95-423d-908c-b0094144a9fe,MER,Merritt Vet Supplies,800-845-0411
fd68f1f9-b85f-4ffe-a498-b7d9a6bbfe02,MSU,Michigan State University,517-353-1683
10a0e635-e94e-4d18-8d26-98544ea20f0f,MILA,Mila International,859-957-1722
feaab36a-d007-48b9-b2fe-e077e6869548,MIL,Miles Inc,800-333-1231
6f5ab6e6-6603-403f-94f7-4513b2d96ec5,MUC,Minnesota Urolith Center,612-625-4221
78031ed8-6a6d-438c-92f2-7eb4922c862f,MMM,Mohawk Medical Mall,800-962-5660
1f6e2359-3083-4585-8ee8-b520223b4c62,MWI,MWI Veterinary Supply,800-824-3703
720b1930-cc07-4bf5-9c78-05caa1100e2e,NATBANDT,National Band Tag,859-261-2035
923f77b1-67b9-4b7c-a062-ec80ccedc092,NCS,National Clinical Supply,800-453-6452
ecc57cdf-7de4-444f-94ea-6783be480a63,NORDIC,Nordic Naturals,800-662-2544\n\n
cb6a11eb-5b04-40aa-aea2-9ebd4e261e99,NAH,Novartis Animal Health US,800-332-2761
82d61bc1-bf1b-428d-adcc-122517e4b4aa,NMX,Nutrimax Laboratories,800-925-5187
326c59a2-454f-46c8-82e9-ac7aa61bea4f,OFFDEP,Office Depot,1-888-godepot
988a7466-5caf-4af2-b7d4-0492bd408393,OPS,Office Product Solutions,813-630-4920
b11f8bb4-8847-4cec-b5c5-18211e69d51a,OLYMPIC,Olympic Veterinary Corp,206-722-3777
606d5585-ecea-4c4a-992a-9ff6d7cc30c6,OSTER,Oster Professional,
44cd652e-cc48-4afc-8092-8b493f5462c3,PAH,Palmetto Animal Health,352-735-2006
6d3dfc57-fbbb-46a6-9bb6-183ac5e52aaf,PARAMED,Para Medical Labels,15306265741
89ea6f65-1e74-4809-945c-51e442767a5e,PARMES,Parks Medical Sales,702-736-6317
78ec9a9a-7a8f-44b3-b05a-fa614205aae1,PATT,Patterson Office Supply,800-637-1140
d2c97d7b-d914-490e-a2b7-f17033daf35d,PATL,Patterson Veterinary Supply,800-225-7911
a15c6a51-1231-4364-925d-74cf19ed89e1,WEB,Patterson Vet Webster,800-225-7911
543c93ae-050b-49ce-9b21-b3d8facce8bb,PFD,Phillips Pet Food,800-451-2817
aa38fdd6-5bde-4aac-90e6-0a32c3494488,PIT,Pitman Moore,800-525-9480
ae4f534e-7e7f-4167-a79c-ebd28ec0579e,PSIV,PSI Veterinary Group,727-504-4481
69989faa-77fa-4cb9-8bd9-f174abe620d6,PSI,Purchasing Services,888-275-652
10774e30-75bc-43c3-ae42-13c7574761dc,PURINA,Purina,800-738-5335
624cf233-6807-4798-8a98-7c535f18935e,PUR,Purina Pet Care MWI,
c1c950a1-fe50-4faf-8256-948c4771a43b,PUTNEY,Putney,207-553-4419
25762341-bae6-48c0-9ee0-0534a07aaf77,QUACONN,Quality Connections,904-759-3282
c6c699b0-27b6-4fe7-a784-d0cebe1e3ee1,QUILL,Quill Medical Arts,800-789-1186
bb7acb61-49c3-42d4-9c5f-5240a4b7e0da,RDC,Radiation Detection,800-250-3314
2fec2b4d-eb77-4575-9ac5-79cd43f72bfb,IRP,Roadrunner Pharmacy,877-518-4589
7bb1b7e7-e04f-4431-be51-d1dd8ef9f852,ROM,Romine Reprographics,407-464-1700
4fab91be-6e05-49d5-9f6b-ce433ee19f72,ROYCAN,Royal Canin USA Inc.,800-592-6687
d1dab1d4-7f1e-43ce-bb5a-8f974b030bad,RYANPS,Ryans Pet Supplies,1-800-525-738
cb111131-9478-440e-bd15-3388787d93a9,SCH,Schering,800-521-5767
c3d25c0e-1a41-4021-9929-5fd12f72f407,SEAN,Seans Lawns,321-436-2734
a726ae70-2f95-453f-885b-d6becc69718e,SHOPLET,Shoplet,212-619-3353
aa862cf0-1a71-4279-961a-448ef2c52fb2,SILBPA,Silvernagel Burroughs,352-729-6752
b9a52654-9414-43dc-8d20-50e926f82c5c,ISP,Smart Practice,800-522-0800
3cf95dd4-1e99-49c6-8ee7-1653078fc83e,SBN,SmithKline Beecham,800-733-5500
317141ae-1430-430f-81b2-afd81cc8ba60,SOL,Solvay Animal Health,
b0cdb310-d940-42d3-9aed-b2cbdeeb78de,SONIQ,Soniquence,516-660-6728
3d4ccc9d-14af-426b-936c-ab1e3a6e40bd,SAS,Southern Anesthesia,800-624-5926
11474d54-f430-4fc4-a929-991cc88e7502,SPP,Specialty Pet Products,866-540-7457
6e650575-d76d-4d01-9a72-888b351fa62e,SPC,Spectrum Chemicals,310-516-8000
f4f33636-a601-4111-95f8-75f96ed5a71a,ISPI,Spectrum Instruments,800-444-5644
15ebfc14-b571-40e5-a044-3c0c60273b04,SRGINC,Sports Resource Group,914-747-8572
7787564f-cefb-48ab-b164-597baa81e1c3,STOKHC,Stokes Healthcare,800-754-5222
4e28841a-34a0-43e3-a0ab-0867c0d48678,TAVANHOS,Tavares Animal Hospital,352-343-7793
f9bc3318-2a7d-4b73-91b3-a49c1c3cc8fb,ITP,Tavares Pharmacy,352-508-6449
977364b6-9162-471a-9c70-bbd1ab823a3d,TAY,Taylors Pharmacy,800-343-9164
7d8b6987-eeb4-4916-83ce-16f0a8c68dc9,TECHNC,Technicuff,800-276-2833
8cb7c772-851f-4fc9-ac94-264c65d99845,TERMINIX,Terminix,407-273-4546
c089a77c-5957-4920-a5cb-4038855fea90,TESTSUP1,Test Supplier 1,555-555-5555
97a1de46-81fe-41ac-9d28-7cb705fb30ea,THUND,Thunderworks,866-892-2078
4dd283de-27ea-4354-b4eb-0bbd18596339,TMI,Trudell Medical,1-200-465-329
e3ad79ab-a5c6-4fb5-80d6-8500407b4d7e,UPJ,Upjohn,
d6214e6b-76aa-4b16-bc1e-4184e5588376,UT,U Tenn Endocrinology,865-974-5638
11f2e2e9-50ad-471d-849e-57bedbe8628a,VACRX,VacRx,800-922-1456
7df8122f-e601-4b78-95e4-d776bd6b2a58,VANLUE,Van Lue Veterinary,407-408-1110
2a5cb99a-2a03-45e7-a54c-a34e739deb16,VARL,Veterinary Allergy Referal,1-800-982-827
9061e90d-4f5a-4250-b43e-433ca0c4d528,VEC,Veterinary Emergency Clinic,407-740-5500
24749286-a56b-4049-ac71-f3538caf0b23,VHI,Veterinary Heart Institute,888-844-1019
7abee7a8-ee82-40f5-94cb-355a576c085d,IVETRI,Vetrimark,800-773-5504
5097d848-fd0c-47a5-9e4e-33082b0803c3,VETRI,Vetri-Science Labs,800-882-9993
9c35c3cc-f8a3-4818-ac52-9efe0ff0656c,WALMART,Wal Mart Pharmacy,
2ff7abe4-f3bf-4521-a780-9da087e3a329,IWWP,Wedgewood Pharmacy,800-331-8272
99a4d651-0e21-4156-8993-57b8ac32098d,PZR,Zoetis/Pfizer Inc,888-963-8471
