name,details,raw_block
Potassium Chloride Injection Flip-Top Vial,"20ml (40Meq), 25 Count",Quarterly | 0.25 / quarter | 2 orders | 2024-05-21 — 2025-10-31 | $308.10 | for 2 box
"Maropitant Citrate Tablets for Dogs, 60 mg 60 Count Bottle",EOW,0.15 / EOW | 1 order | 2026-03-22 | $282.26 | for 1 bottle
E-Z SCRUB ULTRADEX SCRUB BRUSH 30 CT #371163,Monthly,0.16 / month | 9 orders | 2024-05-06 — 2026-01-15 | $273.31 | for 9 each
Ampicillin And Sulbactam,"1.5G/10Ml, 10 Count",Quarterly | 0.50 / quarter | 3 orders | 2024-10-15 — 2025-12-05 | $270.01 | for 3 box
Hydromorphone HCL Injection 2mg/ml C2,P25,Monthly | 0.41 / month | 3 orders | 2025-05-14 — 2025-10-14 | $263.39 | for 5 box
WebMax Sutures,"D303, 30"" (RB1) - 12/Box",Quarterly | 0.50 / quarter | 3 orders | 2025-02-24 — 2026-02-26 | $257.94 | for 3 box
Optixcare Eye Lubricant,20g,Quarterly | 2.50 / quarter | 10 orders | 2024-06-27 — 2026-03-12 | $234.83 | for 26 tube
Gabapentin Quad tab,"100 mg/tab, 120 Tablet, Chicken",Monthly | 0.50 / month | 4 orders | 2025-09-02 — 2026-03-28 | $226.36 | for 5 order unit
Mitoxantrone Inj 2mg/mL MDV,10CC,Quarterly | 0.25 / quarter | 1 order | 2026-01-05 | $205.11 | for 1 order unit
Pivetal Revertased (atipamezole hydrochloride) Injection,10ml (5mg/ml),Quarterly | 0.50 / quarter | 2 orders | 2025-06-10 — 2026-03-30 | $201.80 | for 2 vial
Rabies Tag Alum 1100,EACH,Quarterly | 0.25 / quarter | 1 order | 2025-11-11 | $189.15 | for 1 order unit
Fentanyl C2 Injection,50ml (50mcg/ml),Quarterly | 0.00 / quarter | 1 order | 2024-07-23 | $180.15 | for 5 order unit
SodaLime Pail,"5 Gallons, 1 Each",Quarterly | 0.25 / quarter | 2 orders | 2025-02-18 — 2026-04-07 | $179.12 | for 2 bucket
VetPack Monoject Syringe with Needle (Rigid),"3ml, Luer Lock, 22g x 3/4"", 100 Count",EOW | 0.62 / EOW | 3 orders | 2026-01-06 — 2026-02-09 | $176.80 | for 10 box
"CeraDerm Aloe and Oatmeal Conditioning Shampoo for Dogs or Cats, 1 Gallon",Monthly,0.50 / month | 4 orders | 2024-10-15 — 2026-03-30 | $175.42 | for 4 order unit
"Baytril 100 (Enrofloxacin) Antimicrobial Injectable Solution, 100mL",Quarterly,0.50 / quarter | 3 orders | 2024-11-26 — 2026-04-22 | $171.21 | for 3 bottle
Ostimax Chewables 100 mg 90 Count,B90,Quarterly | 0.00 / quarter | 1 order | 2025-04-21 | $166.97 | for 1 bottle
Purina Pro Plan Veterinary Supplements Hydra Care,2 x 12 Count Case,EOW | 0.77 / EOW | 6 orders | 2025-09-19 — 2026-03-23 | $159.84 | for 12 case
Catheter Slippery Sam Tom Cat Urethral,EACH,Monthly | 0.50 / month | 3 orders | 2025-04-22 — 2025-11-11 | $151.86 | for 8 order unit
Ondansetron Injection,20ml (2mg/ml),Quarterly | 2.50 / quarter | 9 orders | 2024-04-22 — 2026-01-15 | $147.00 | for 27 vial
"Orapac Oral Dispensing Kit, 2oz Bottle with Open Adapter and 3mL Syringe, Green",EOW,3.69 / EOW | 12 orders | 2025-03-31 — 2026-04-07 | $146.88 | for 144 each
Polyflex Injection,25g,Quarterly | 0.25 / quarter | 3 orders | 2024-06-06 — 2025-08-20 | $137.98 | for 3 bottle
"KOE Fresh Scent Concentrate, 1 Gallon",Quarterly,0.50 / quarter | 2 orders | 2025-06-10 — 2026-03-23 | $135.70 | for 2 gallon
Digital Thermometer Probe Covers Pre-Lubricated,Quarterly,2.25 / quarter | 8 orders | 2024-05-21 — 2026-01-29 | $135.53 | for 22 box
"Orapac Oral Dispensing Kit, 1oz Bottle with Open Adapter and 1mL Syringe, Green",EOW,3.69 / EOW | 12 orders | 2025-05-01 — 2026-03-30 | $131.52 | for 144 each
HepatiClear Pro Chews for Dogs,60 Count,EOW | 0.15 / EOW | 4 orders | 2025-04-10 — 2026-03-30 | $123.79 | for 4 bag
Rapz Eazy Tear Cohesive Bandage Natural World 2in,Quarterly,1.25 / quarter | 6 orders | 2025-01-20 — 2026-04-07 | $118.58 | for 6 box
Meloxicam Injection,20ml (5mg/ml),Quarterly | 0.00 / quarter | 1 order | 2025-02-23 | $111.16 | for 1 vial
Anigen Canine Parvovirus Rapid Test Kit,B10,Quarterly | 0.25 / quarter | 1 order | 2025-12-17 | $110.65 | for 1 order unit
Vincristine Sulfate Injectable,2Ml (1Mg/Ml),Quarterly | 0.50 / quarter | 5 orders | 2024-11-12 — 2025-11-14 | $104.98 | for 6 vial
Famotidine Injection,20ml (10mg/ml),Quarterly | 0.25 / quarter | 8 orders | 2024-04-22 — 2025-09-02 | $103.63 | for 9 vial
Midazolam Injection 5mg/mL 5mL C4,B10,EOW | 0.08 / EOW | 5 orders | 2024-05-21 — 2025-12-05 | $103.05 | for 12 box
Slippery Sam Tomcat Catheter,"Closed End, 3.5fr x 6",Monthly | 0.00 / month | 1 order | 2025-04-21 | $101.84 | for 4 order unit
OstiLox meloxicam Injection 5mg/mL 20mL,20ML,Quarterly | 0.25 / quarter | 1 order | 2026-01-05 | $98.91 | for 1 order unit
Dasuquin Advanced Joint Health Capsules Cat,B60,Monthly | 0.66 / month | 3 orders | 2025-10-20 — 2026-04-07 | $96.95 | for 7 bottle
"AlphaTrak 3 Blood Glucose Monitoring Test Strips, 50 Count",Quarterly,0.50 / quarter | 2 orders | 2026-01-06 — 2026-01-29 | $95.20 | for 2 bottle
Vetspon Flex Sheet,6 Sheets x 1 count,Quarterly | 0.00 / quarter | 1 order | 2024-05-20 | $92.07 | for 1 box
"Vetmedin Solution (pimobendan oral solution), 50 mL",EOW,0.31 / EOW | 2 orders | 2026-03-13 — 2026-03-30 | $92.00 | for 2 bottle
Suffusion K Mousse,6.8oz,Monthly | 0.16 / month | 2 orders | 2025-01-20 — 2026-02-26 | $91.31 | for 6 order unit
WebMax Sutures,"D421, 30"" (FS2) - 12/Box",Quarterly | 0.00 / quarter | 1 order | 2025-03-31 | $89.86 | for 1 order unit
Baytril Injection,"2.27%, 20 mL x 1 Count",Quarterly | 0.00 / quarter | 2 orders | 2024-06-20 — 2024-11-26 | $89.14 | for 2 vial
IV Catheter 14g x 2in Surflo ETFE Orange,EACH,EOW | 3.85 / EOW | 1 order | 2026-01-05 | $87.00 | for 50 order unit
"Thyro-Tabs Canine (Levothyroxine Sodium Tablets) 0.5mg, 1000 Count",EOW,0.15 / EOW | 1 order | 2026-02-18 | $84.83 | for 1 bottle
Bupivacaine HCl Inj USP 0.5% 50mL Flip Top Vial,B25,Quarterly | 0.25 / quarter | 1 order | 2025-07-20 | $84.62 | for 1 tray
Synthetic Absorbable Suture,"SutureVet Monosorb, 4-0, FS-2, 30"", 12 Count",EOW | 0.15 / EOW | 1 order | 2026-02-08 | $84.09 | for 1 box
Vetsulin,"U-40, 10ml",Quarterly | 0.50 / quarter | 1 order | 2025-10-20 | $82.58 | for 2 vial
Metoclopramide Injection,2ml (5mg/ml),Quarterly | 1.25 / quarter | 2 orders | 2024-11-26 — 2025-10-14 | $81.88 | for 6 bottle
"Pivetal Rechargeable Battery 3.5V, Compatible with W/A 72300",Quarterly,0.50 / quarter | 1 order | 2025-09-01 | $80.76 | for 2 order unit
Butterfly Catheters 21x.75 w/12in Tubing,EACH,Quarterly | 12.50 / quarter | 2 orders | 2025-04-22 — 2026-02-26 | $78.50 | for 100 needle
PGCL Monofil Absorbable Suture,"4-0, FS-2 (19mm), 3/8 Reverse Cut, 36"", Violet, 12 Count",Quarterly | 0.25 / quarter | 1 order | 2025-11-13 | $74.74 | for 1 box
Anesthesia Clean Air Filter,EACH,Monthly | 0.83 / month | 6 orders | 2025-09-19 — 2026-04-07 | $69.63 | for 11 each
Flex-Coil (SAIV) System Core Swivel IV Set With 3' Coil - 1/Pkg,Quarterly,0.25 / quarter | 2 orders | 2025-04-10 — 2026-03-12 | $69.42 | for 3 order unit
"Surgical Tunnel-Belt Gown (1-Ply Reusable, Non Sterile, Green)",Medium,Monthly | 0.33 / month | 1 order | 2026-01-28 | $69.00 | for 2 order unit
Diphenhydramine Injection,"1ml (50mg/ml), 25 Count",Quarterly | 0.25 / quarter | 2 orders | 2024-11-26 — 2025-11-22 | $67.58 | for 2 box
Suture OneGut Chromic Gut #0 Catgut 50m Cassette,CASS,Quarterly | 0.25 / quarter | 1 order | 2025-12-17 | $67.27 | for 1 order unit
Elastic Adhesive Bandage,"Beige, 2"" x 5 yds, 6 Count",Quarterly | 0.75 / quarter | 4 orders | 2025-01-20 — 2025-11-10 | $62.62 | for 4 box
Pivetal Porous Tape,"1"" x 10 yd, 12 Count",Quarterly | 0.75 / quarter | 4 orders | 2025-03-20 — 2026-02-26 | $60.34 | for 4 box
Carbide Bur Crosscut Fissure Taper Long,10 Count,Monthly | 0.33 / month | 1 order | 2025-11-13 | $56.52 | for 2 package
Chamber Brite Powdered Cleaner,10 Count,Quarterly | 0.00 / quarter | 1 order | 2024-12-15 | $54.92 | for 1 box
Dental Bur Carbide Round #6,P10,Quarterly | 0.50 / quarter | 1 order | 2025-11-13 | $53.18 | for 2 package
Acepromazine Injection,50ml (10mg/ml),Quarterly | 0.25 / quarter | 2 orders | 2024-05-30 — 2025-11-22 | $52.97 | for 2 bottle
Mannitol 20% Injection,100ml,Quarterly | 0.25 / quarter | 2 orders | 2025-01-06 — 2025-09-02 | $52.64 | for 2 vial
"Apomorphine (AQ) 1 mg / mL Injection Solution, 10 mL",EOW,0.15 / EOW | 1 order | 2026-03-29 | $52.00 | for 1 order unit
PPVD Feline Advanced Care NF Kidney Function,"5.5oz, 24 Count",Quarterly | 0.50 / quarter | 2 orders | 2025-09-12 — 2026-02-26 | $50.02 | for 2 case
"FELINE ESOPHAGOSTOMY TUBE 14FR UP TO 13 IN, FELINE ESOPHAGOSTOMY TUBE 14FR UP TO 13 IN",EOW,0.31 / EOW | 1 order | 2026-03-11 | $46.74 | for 2 each
Heavy Duty Dog Nail Trimmer,"Orange, Large",Quarterly | 0.50 / quarter | 2 orders | 2024-11-07 — 2026-01-15 | $46.65 | for 3 each
VS2 Disposable Pipette Tips,96 Count,Quarterly | 1.00 / quarter | 5 orders | 2025-04-22 — 2026-03-30 | $45.90 | for 7 package
"Sterile Surgical Blade, Stainless Steel, #15",EOW,0.15 / EOW | 1 order | 2026-03-11 | $45.39 | for 1 box
Insulin Syringe with Needle,"0.3ml, U-100, 29g x 1/2"", (10pks) 100 Count",Quarterly | 0.50 / quarter | 3 orders | 2024-08-15 — 2026-01-15 | $44.16 | for 3 box
PPVD NF Kidney Function Advanced Care Feline Formula,8lbs,Quarterly | 0.00 / quarter | 1 order | 2025-01-19 | $42.68 | for 1 bag
"Enulose (Lactulose Solution, USP), 10 g/15 mL 473 mL Each",Quarterly,1.50 / quarter | 6 orders | 2025-09-12 — 2026-03-30 | $42.50 | for 6 bottle
"Orapac Oral Dispensing Kit, 4oz Bottle with Open Adapter and 10mL Syringe, Green",Quarterly,6.00 / quarter | 2 orders | 2025-09-12 — 2026-03-12 | $41.52 | for 24 each
Proparacaine 0.5% Ophthalmic Solution,15ml,Quarterly | 0.25 / quarter | 2 orders | 2024-11-18 — 2026-03-12 | $41.18 | for 2 bottle
DermAllay Oatmeal Shampoo,12oz,Quarterly | 1.00 / quarter | 2 orders | 2025-05-19 — 2026-03-12 | $40.96 | for 4 bottle
Pivetal Cotton Roll 1 lb,Quarterly,1.50 / quarter | 9 orders | 2025-01-07 — 2026-02-26 | $40.35 | for 10 roll
"Ampicillin for Injectable Suspension, Sterile, 250mL",Quarterly,0.25 / quarter | 1 order | 2026-03-29 | $39.81 | for 1 bottle
Proin Chewable Tablets,"75mg, 60 Count",EOW | 0.15 / EOW | 1 order | 2026-02-18 | $37.13 | for 1 bottle
Miltex Surgical Instrument Cleaner and Lubricant,"1 Gallon, 1 Each",Quarterly | 0.25 / quarter | 1 order | 2025-10-30 | $36.60 | for 1 bottle
"Surgical Suction Tubing, Sterile, 0.25"" x 6'",Quarterly,3.50 / quarter | 10 orders | 2024-06-20 — 2026-04-22 | $36.30 | for 30 each
"Benazepril Hydrochloride Tablets, USP, 5 mg 100 Count Each",EOW,1.08 / EOW | 5 orders | 2025-12-18 — 2026-03-23 | $36.12 | for 14 bottle
Silver Sulfadiazine Cream 1% Tube,50g,Quarterly | 0.00 / quarter | 1 order | 2025-04-21 | $35.26 | for 2 tube
"3M Comply Steam Chemical Indicator, 240 Indicators/Pkg",Quarterly,0.25 / quarter | 1 order | 2025-07-30 | $33.80 | for 1 order unit
Epinephrine Injection,50Ml (1Mg/Ml),Quarterly | 0.25 / quarter | 1 order | 2025-10-30 | $32.09 | for 1 vial
"Gauze Sponge 4-Ply Premium, Non-Woven, Non-Sterile, 2"" x 2",Monthly,1.49 / month | 7 orders | 2025-08-15 — 2026-04-22 | $30.76 | for 18 package
Kenalog Injection,5ml (10mg/ml),Quarterly | 0.25 / quarter | 1 order | 2026-03-11 | $29.29 | for 1 vial
Sterilization Indicator Tape 1inx50m Steam Autocla,Quarterly,0.50 / quarter | 5 orders | 2024-05-30 — 2026-01-29 | $27.66 | for 5 order unit
"Azithromycin Oral Suspension, USP, 200mg/5mL, Cherry Flavored 30mL Bottle",EOW,0.46 / EOW | 3 orders | 2025-12-18 — 2026-02-19 | $27.58 | for 7 bottle
"Rapz Eazy Tear Natural World Cohesive Bandage Variety Packs 4"" x 5-1/2 yd Includes Multiple Items",Quarterly,0.00 / quarter | 1 order | 2025-01-19 | $24.96 | for 1 box
Amoxicillin Capsules 500mg,B500,Quarterly | 0.25 / quarter | 1 order | 2025-09-25 | $24.04 | for 1 bottle
Pivetal Meloxidyl (Meloxicam) Oral Suspension,10ml (1.5mg/ml),EOW | 0.31 / EOW | 1 order | 2026-03-22 | $23.98 | for 2 bottle
Atropine Sulfate Injection,"100ml (1/120Grain, 0.54mg/ml)",Quarterly | 0.25 / quarter | 1 order | 2025-07-28 | $22.96 | for 1 bottle
Ultrasound Transmission Gel,5 Liters,Quarterly | 0.25 / quarter | 1 order | 2026-03-11 | $22.18 | for 1 each
Silver Nitrate Applicators 6IN,P100,Quarterly | 0.25 / quarter | 1 order | 2025-07-06 | $21.15 | for 1 tube
"Neomycin and Polymyxin B Sulfates and Dexamethasone Ophthalmic Ointment, 3.5gm",EOW,0.31 / EOW | 2 orders | 2026-01-06 — 2026-03-23 | $21.09 | for 5 each
B.N.P. Ophthalmic Ointment Valeant HG,3.5g,EOW | 0.31 / EOW | 2 orders | 2026-01-06 — 2026-03-12 | $20.42 | for 4 tube
"Vitamin K-1 Chewable Tablets, Beef Flavor, 50mg, 50 Count",EOW,0.15 / EOW | 1 order | 2026-02-18 | $20.41 | for 1 bottle
PVC Cuffed Endotracheal Tube,11mm,Quarterly | 0.50 / quarter | 2 orders | 2025-10-31 — 2025-11-10 | $19.90 | for 2 each
Hose Suction Handle,Each,Quarterly | 0.00 / quarter | 1 order | 2024-06-05 | $18.40 | for 5 each
Oxytocin (purified oxytocic principle) Injection,100ml,Quarterly | 0.25 / quarter | 2 orders | 2024-07-22 — 2025-09-26 | $18.19 | for 2 bottle
Boston Round Bottle with Red Yorker Cap,"8oz, 25 Count",Quarterly | 0.00 / quarter | 1 order | 2024-11-06 | $18.12 | for 1 order unit
Cat Lax,2OZ,Monthly | 0.16 / month | 2 orders | 2025-09-12 — 2026-03-12 | $17.69 | for 3 tube
Salix 5% Injection,50ml (50mg/mL),Quarterly | 0.00 / quarter | 1 order | 2024-05-20 | $17.24 | for 1 vial
Chlorhexidine 2% Solution,1 Gallon,Quarterly | 0.25 / quarter | 2 orders | 2024-06-20 — 2026-04-07 | $17.17 | for 2 gallon
Proin Extended-Release Tablets,"18mg, 30 Count",Quarterly | 0.00 / quarter | 1 order | 2024-07-10 | $15.21 | for 1 bottle
Pet Pill Dispenser,12 Count,Quarterly | 0.00 / quarter | 3 orders | 2024-06-20 — 2024-11-07 | $14.40 | for 1 order unit
"Zetamine Ketamine HCl Injection, 10mL",Quarterly,0.00 / quarter | 1 order | 2024-06-05 | $12.88 | for 2 vial
"Clindamycin Hydrochloride Capsules, USP, 150 mg 100 Count Each",Quarterly,0.50 / quarter | 1 order | 2026-01-05 | $12.56 | for 2 bottle
Endotracheal Tube Aircare 4mm Clear Cuffed,EACH,Quarterly | 1.50 / quarter | 3 orders | 2025-09-19 — 2026-01-06 | $12.20 | for 6 tube
Scotch-Brite Pet Hair Pickup Lint Roller Refill,EOW,0.46 / EOW | 1 order | 2026-04-06 | $12.06 | for 3 each
"Vitamin K-1 Chewable Tablets, Beef Flavor, 25mg, 50 Count",Quarterly,0.25 / quarter | 1 order | 2026-02-18 | $11.94 | for 1 bottle
Gentamicin Sulfate with Betamethasone Valerate,"USP, 240ml",EOW | 0.15 / EOW | 1 order | 2026-03-22 | $11.87 | for 1 order unit
IV BAG ACCESS W/ MICROCLAVE #PIN3,Quarterly,1.25 / quarter | 1 order | 2025-09-01 | $11.50 | for 5 order unit
Dexamethasone Injection,100ml (2mg/ml),Quarterly | 0.25 / quarter | 1 order | 2026-03-11 | $10.02 | for 1 vial
Ultra Thin Wall Needle,"22g x 1.5"", 100 Count",Monthly | 0.16 / month | 1 order | 2026-02-18 | $9.87 | for 1 box
Plastic Dropper Plastic Pipette,"1oz, Plastic Pipette, 12 Count",Quarterly | 0.25 / quarter | 1 order | 2026-03-22 | $8.75 | for 1 Pack
"Exam Gloves, Latex, Powder-Free, Advanced Aloe, Medium 100 Count Box",Monthly,0.16 / month | 1 order | 2026-02-25 | $8.48 | for 1 Pack
Ciprofloxacin Tablets,"250mg, 100 Count",Quarterly | 0.00 / quarter | 1 order | 2024-06-26 | $8.45 | for 1 order unit
Plastic Dropper,"1/2oz, 12 Count",Quarterly | 0.25 / quarter | 1 order | 2025-08-10 | $7.94 | for 1 package
Disposable Needles,"22g x 3/4"", 100 Count",EOW | 0.31 / EOW | 1 order | 2026-03-22 | $7.70 | for 2 box
Biopsy Skin Punch,2mm,Quarterly | 0.75 / quarter | 1 order | 2025-07-28 | $7.38 | for 3 each
FiveTen-K Endotracheal Tube PVC Clear Cuff,9mm,Quarterly | 0.00 / quarter | 1 order | 2025-02-17 | $5.51 | for 1 order unit
Miltex Biopsy Skin Punch,"Disposable, 6mm, 1 Each",Monthly | 0.50 / month | 2 orders | 2025-11-09 | $5.48 | for 3 each
Calcium Gluconate 23%,500CC,Quarterly | 0.25 / quarter | 1 order | 2025-09-11 | $4.66 | for 1 bottle
"Dextrose 50% Sterile Preservative Free Solution Injection, 500mL",Quarterly,0.00 / quarter | 1 order | 2024-10-14 | $3.69 | for 1 bottle
Heparin Sodium Injectable,10ml (1000 units/ml),Quarterly | 0.00 / quarter | 1 order | 2024-05-20 | $3.14 | for 1 vial
Hydroxyzine Hcl Tablets,"10Mg, 100 Count",Quarterly | 0.00 / quarter | 1 order | 2025-04-09 | $2.46 | for 1 bottle
PPVD Canine NF Kidney Function,6lbs,Quarterly | 0.00 / quarter | 2 orders | 2025-05-13 — 2025-07-29 | $0.57 | for 0 bag
Spring Syringe Pump Flow Control Tubing,10ml/4hr (2.5ml/hr),Quarterly | 0.00 / quarter | 1 order | 2025-04-09 | $0.00 | for 3 order unit
PPVD Canine EN Gastroenteric,6lb,Quarterly | 0.25 / quarter | 1 order | 2025-09-11 | $0.00 | for 1 bag
PPVD Canine/Feline CN Critical Nutrition,"5.5oz, 24 Count",Quarterly | 0.50 / quarter | 2 orders | 2025-09-12 — 2025-09-19 | $0.00 | for 2 case
PPVD Feline EN Gastroenteric,"5.5oz Can, 24 Count",Quarterly | 0.25 / quarter | 1 order | 2025-09-11 | $0.00 | for 1 case
PPVD Canine EN Gastroenteric,"13.4oz Can, 12 Count",Quarterly | 0.25 / quarter | 1 order | 2025-09-11 | $0.00 | for 1 case
Purina Pro Plan Veterinary Diets UR Urinary Ox/St Canine Formula 6lb 1 bag,Quarterly,0.00 / quarter | 2 orders | 2025-05-13 — 2025-09-12 | $-26.18 | for 0 bag
"Endosorb Tablets, Absorbent Anti-Diarrheal Demulcent, 500 Count",Quarterly,0.00 / quarter | 1 order | 2026-03-26 | $-802.23 | for -11 bottle
